frame,occluded,err_bx,err_by,err_py,err_vis,h_norm,belief_update_mag,weight_updates,hit_ratio,total_hits,total_misses,gravity,bounce,ball_speed
15600,0,0.009363,0.10897,0.000904,0.020515,5.809242,0.079206,471,1.0,1,0,0.045011,1.083173,4.8774
15700,0,0.003416,0.112879,0.032931,0.043136,6.001603,0.079752,474,0.0,0,0,0.045011,1.083173,4.8774
15800,0,0.017517,0.04255,0.028605,0.030453,5.814981,0.059442,478,0.0,0,0,0.045011,1.083173,4.8774
15900,0,0.040015,0.033885,0.023224,0.035541,5.919305,0.062257,480,1.0,1,0,0.045011,1.083173,4.8774
16000,0,0.098515,0.0268,0.027806,0.05989,6.600779,0.113709,484,1.0,1,0,0.045011,1.083173,4.8774
16100,0,0.025924,0.108871,0.002865,0.003487,5.876874,0.058195,487,1.0,1,0,0.045011,1.083173,4.8774
16200,0,0.004691,0.118018,0.005928,0.022242,6.003447,0.050676,490,0.0,0,0,0.045011,1.083173,4.8774
16300,0,0.019018,0.067903,0.011257,0.005764,5.816044,0.115515,494,0.0,0,0,0.045011,1.083173,4.8774
16400,0,0.034144,0.010395,0.039709,0.062891,5.940145,0.0639,497,0.0,0,0,0.045011,1.083173,4.8774
16500,0,0.004918,0.010078,0.037536,0.059504,6.085103,0.042956,500,1.0,1,0,0.045011,1.083173,4.8774
16600,0,0.004815,0.074469,0.016047,0.038021,5.795144,0.14424,504,1.0,1,0,0.045011,1.083173,4.8774
16700,0,0.043551,0.089314,0.028976,0.030427,6.063616,0.091256,507,1.0,1,0,0.045011,1.083173,4.8774
16800,0,0.047214,0.118172,0.024121,0.015977,6.630252,0.049868,510,1.0,2,0,0.045011,1.083173,4.8774
16900,0,0.011802,0.133345,0.00411,0.002467,5.467074,0.257753,514,1.0,2,0,0.045011,1.083173,4.8774
17000,0,0.006038,0.103666,0.053241,0.005923,6.042779,0.183224,517,1.0,3,0,0.045011,1.083173,4.8774
17100,0,0.004395,0.042715,0.006195,0.016148,5.798527,0.798308,520,1.0,3,0,0.045011,1.083173,4.8774
17200,0,0.023,0.037701,0.130162,0.006122,6.106128,0.20354,523,1.0,4,0,0.045011,1.083173,4.8774
17300,0,0.032968,0.053177,0.110486,0.030665,6.509175,0.169057,526,1.0,4,0,0.045011,1.083173,4.8774
17400,0,0.012385,0.076671,0.038881,0.028379,6.253115,0.433465,529,0.0,0,0,0.045011,1.083173,4.8774
17500,0,0.012179,0.070899,0.00082,0.010587,5.692394,0.078296,533,0.0,0,0,0.045011,1.083173,4.8774
17600,0,0.01688,0.031749,0.01731,0.002699,5.629658,0.061388,535,1.0,1,0,0.045011,1.083173,4.8774
17700,0,0.003824,0.017521,0.015069,0.013818,6.627461,0.101402,538,1.0,1,0,0.045011,1.083173,4.8774
17800,0,0.030959,0.002793,0.030123,0.006613,6.022052,0.11257,540,1.0,2,0,0.045011,1.083173,4.8774
17900,0,0.029829,0.010078,0.008644,0.008732,6.399314,0.129759,543,1.0,2,0,0.045011,1.083173,4.8774
18000,0,0.002503,0.034644,0.018311,0.014484,5.937948,0.117846,545,1.0,3,0,0.045011,1.083173,4.8774
18100,0,0.001165,0.006277,0.01044,0.001889,6.303608,0.117012,548,1.0,3,0,0.045011,1.083173,4.8774
18200,0,0.013163,0.046342,0.01414,0.00682,5.647797,0.122929,550,1.0,4,0,0.045011,1.083173,4.8774
18300,0,0.031569,0.012456,0.013298,0.012743,5.779468,0.150852,552,1.0,5,0,0.045011,1.083173,4.8774
18400,0,0.140562,0.14179,0.000701,0.013737,6.458834,0.144787,554,1.0,5,0,0.045011,1.083173,4.8774
18500,0,0.048148,0.058633,0.02514,0.023978,6.333087,0.105075,556,0.0,0,0,0.045011,1.083173,4.8774
18600,0,0.002411,0.05587,0.010382,0.007695,6.394603,0.1035,560,0.0,0,0,0.045011,1.083173,4.8774
18700,0,0.008447,0.027938,0.008347,0.011294,5.886387,0.060596,561,1.0,1,0,0.045011,1.083173,4.8774
18800,0,0.01197,0.037026,0.002403,0.002695,5.847499,0.068031,561,1.0,1,0,0.045011,1.083173,4.8774
18900,0,0.006334,0.015512,0.000864,0.005471,6.29251,0.151137,564,1.0,1,0,0.045011,1.083173,4.8774
19000,0,0.011319,0.038678,0.009528,0.000639,6.048508,0.073776,565,1.0,2,0,0.045011,1.083173,4.8774
19100,0,0.0907,0.044373,0.039307,0.037757,6.696821,0.084912,569,1.0,2,0,0.045011,1.083173,4.8774
19200,0,0.001591,0.086061,0.010626,0.010277,6.126359,0.108491,572,1.0,2,0,0.045011,1.083173,4.8774
19300,0,0.011826,0.094269,0.022364,0.020822,6.147683,0.055556,575,0.0,0,0,0.045011,1.083173,4.8774
19400,0,0.005422,0.055494,0.010713,0.004495,5.573842,0.087392,579,0.0,0,0,0.045011,1.083173,4.8774
19500,0,0.013934,0.031363,0.018958,0.016019,5.889022,0.060291,580,0.0,0,0,0.045011,1.083173,4.8774
19600,0,0.027231,0.01745,0.001336,0.001251,6.120162,0.044991,581,1.0,1,0,0.045011,1.083173,4.8774
19700,0,0.023356,0.00244,0.006886,0.006697,5.997455,0.173776,582,1.0,1,0,0.045011,1.083173,4.8774
19800,0,0.027824,0.003446,0.024352,0.024353,5.71311,0.067967,583,1.0,1,0,0.045011,1.083173,4.8774
19900,0,0.005326,0.044198,0.024807,0.026706,5.874053,0.105422,586,0.0,0,0,0.045011,1.083173,4.8774
20000,0,0.022242,0.085627,0.003441,0.006682,5.746269,0.079673,589,1.0,1,0,0.045011,1.083173,4.8774
20100,0,0.021837,0.120702,0.011396,0.000168,5.512648,0.673244,592,1.0,1,0,0.045011,1.083173,4.8774
20200,0,0.006343,0.004427,0.00579,0.009887,6.325141,0.102626,595,1.0,2,0,0.045011,1.083173,4.8774
20300,0,0.002268,0.023517,0.003377,0.005148,6.326731,0.139794,598,1.0,2,0,0.045011,1.083173,4.8774
20400,0,0.000617,0.009722,0.00716,0.023465,5.966952,0.128707,600,1.0,3,0,0.045011,1.083173,4.8774
20500,0,0.013113,0.037075,0.01768,0.016289,6.216946,0.159345,601,1.0,3,0,0.045011,1.083173,4.8774
20600,0,0.011487,0.028049,0.008098,0.012581,5.850688,0.110295,603,1.0,4,0,0.045011,1.083173,4.8774
20700,0,0.009513,0.047172,0.007407,0.01106,5.777606,0.114561,604,1.0,4,0,0.045011,1.083173,4.8774
20800,0,0.013072,0.088932,0.002185,0.003334,5.871299,0.154965,608,1.0,5,0,0.045011,1.083173,4.8774
20900,0,0.02918,0.063538,0.002207,0.003305,6.702087,0.188934,611,1.0,6,0,0.045011,1.083173,4.8774
21000,0,0.006105,0.041968,0.008698,0.039136,5.658612,0.173951,614,0.0,0,0,0.045011,1.083173,4.8774
21100,0,0.01948,0.014048,0.003647,0.022497,5.802445,0.080998,617,0.0,0,0,0.045011,1.083173,4.8774
21200,0,0.027629,0.042183,0.019466,0.034454,5.721833,0.059155,619,1.0,1,0,0.045011,1.083173,4.8774
21300,0,0.01102,0.039714,0.003913,0.015077,6.016378,0.137254,622,1.0,1,0,0.045011,1.083173,4.8774
21400,0,0.04188,0.077442,0.006777,0.018658,5.958507,0.065434,625,1.0,1,0,0.045011,1.083173,4.8774
21500,0,0.012579,0.030987,0.018276,0.028368,5.894779,0.05996,628,1.0,1,0,0.045011,1.083173,4.8774
21600,0,0.016934,0.030008,0.014692,0.033017,5.752921,0.096396,630,1.0,1,0,0.045011,1.083173,4.8774
